Product ID,Cost of Production ($),Competition Level (1-5),Target Audience,Market Conditions,Desired Profit Margin (%),Actual Price ($)
295,17400,3,Professionals,Growing,27,19206.00
296,10700,2,Teenagers,Stable,19,13106.00
297,13600,4,Young Adults,Competitive,24,10200.00
298,9500,3,Millennials,Declining,20,12350.00
299,16600,5,Families,Growing,25,16600.00
300,11400,4,Seniors,Stable,31,15876.00
301,18800,3,Professionals,Competitive,16,20576.00
302,10400,2,Teenagers,Declining,23,14536.00
303,12400,4,Young Adults,Growing,18,14880.00
304,14200,3,Millennials,Stable,29,14200.00
305,15400,5,Families,Competitive,15,13090.00
306,11300,4,Seniors,Declining,20,9040.00
307,18600,3,Professionals,Growing,26,18600.00
308,10500,2,Teenagers,Stable,31,13650.00
309,12800,4,Young Adults,Competitive,17,15360.00
310,14300,3,Millennials,Declining,21,15282.00
311,15100,5,Families,Growing,26,17539.00
312,11000,4,Seniors,Stable,15,13200.00
313,17300,3,Professionals,Competitive,30,21209.00
314,10200,2,Teenagers,Declining,19,12204.00
315,13100,4,Young Adults,Growing,31,9542.00
316,14300,3,Millennials,Stable,16,16954.00
317,15900,5,Families,Competitive,22,13434.00
318,9700,4,Seniors,Declining,27,12631.00
319,17200,3,Professionals,Growing,18,19996.00
320,10300,2,Teenagers,Stable,23,13426.00
321,12800,4,Young Adults,Competitive,15,15360.00
322,14100,3,Millennials,Declining,20,18369.00
323,14800,5,Families,Growing,25,15540.00
324,9000,4,Seniors,Stable,31,11700.00
325,16900,3,Professionals,Competitive,29,22039.00
326,10500,2,Teenagers,Declining,16,12390.00
327,12400,4,Young Adults,Growing,30,8060.00
328,14400,3,Millennials,Stable,17,16920.00
329,15700,5,Families,Competitive,31,13718.00
330,9300,4,Seniors,Declining,22,10230.00
331,17400,3,Professionals,Growing,27,19206.00
332,10700,2,Teenagers,Stable,19,13106.00
333,13600,4,Young Adults,Competitive,24,10200.00
334,9500,3,Millennials,Declining,20,12350.00
335,16600,5,Families,Growing,25,16600.00
336,11400,4,Seniors,Stable,31,15876.00
337,18800,3,Professionals,Competitive,16,20576.00
338,10400,2,Teenagers,Declining,23,14536.00
339,12400,4,Young Adults,Growing,18,14880.00
340,14200,3,Millennials,Stable,29,14200.00
341,15400,5,Families,Competitive,15,13090.00
342,11300,4,Seniors,Declining,20,9040.00
343,18600,3,Professionals,Growing,26,18600.00
344,10500,2,Teenagers,Stable,31,13650.00
345,12800,4,Young Adults,Competitive,17,15360.00
346,14300,3,Millennials,Declining,21,15282.00
347,15100,5,Families,Growing,26,17539.00
348,11000,4,Seniors,Stable,15,13200.00
349,17300,3,Professionals,Competitive,30,21209.00
350,10200,2,Teenagers,Declining,19,12204.00
351,13100,4,Young Adults,Growing,31,9542.00
352,14300,3,Millennials,Stable,16,16954.00
353,15900,5,Families,Competitive,22,13434.00
354,9700,4,Seniors,Declining,27,12631.00
355,17200,3,Professionals,Growing,18,19996.00
356,10300,2,Teenagers,Stable,23,13426.00
357,12800,4,Young Adults,Competitive,15,15360.00
358,14100,3,Millennials,Declining,20,18369.00
359,14800,5,Families,Growing,25,15540.00
360,9000,4,Seniors,Stable,31,11700.00
361,16900,3,Professionals,Competitive,29,22039.00
362,10500,2,Teenagers,Declining,16,12390.00
363,12400,4,Young Adults,Growing,30,8060.00
364,14400,3,Millennials,Stable,17,16920.00
365,15700,5,Families,Competitive,31,13718.00
366,9300,4,Seniors,Declining,22,10230.00
367,17400,3,Professionals,Growing,27,19206.00
368,10700,2,Teenagers,Stable,19,13106.00
369,13600,4,Young Adults,Competitive,24,10200.00
370,9500,3,Millennials,Declining,20,12350.00
371,16600,5,Families,Growing,25,16600.00
372,11400,4,Seniors,Stable,31,15876.00
373,18800,3,Professionals,Competitive,16,20576.00
374,10400,2,Teenagers,Declining,23,14536.00
375,12400,4,Young Adults,Growing,18,14880.00
376,14200,3,Millennials,Stable,29,14200.00
377,15400,5,Families,Competitive,15,13090.00
378,11300,4,Seniors,Declining,20,9040.00
379,18600,3,Professionals,Growing,26,18600.00
380,10500,2,Teenagers,Stable,31,13650.00
381,12800,4,Young Adults,Competitive,17,15360.00
382,14300,3,Millennials,Declining,21,15282.00
383,15100,5,Families,Growing,26,17539.00
384,11000,4,Seniors,Stable,15,13200.00
385,17300,3,Professionals,Competitive,30,21209.00
386,10200,2,Teenagers,Declining,19,12204.00
387,13100,4,Young Adults,Growing,31,9542.00
388,14300,3,Millennials,Stable,16,16954.00
389,15900,5,Families,Competitive,22,13434.00
390,9700,4,Seniors,Declining,27,12631.00
391,17200,3,Professionals,Growing,18,19996.00
392,10300,2,Teenagers,Stable,23,13426.00
393,12800,4,Young Adults,Competitive,15,15360.00
394,14100,3,Millennials,Declining,20,18369.00
395,14800,5,Families,Growing,25,15540.00
396,9000,4,Seniors,Stable,31,11700.00
397,16900,3,Professionals,Competitive,29,22039.00
398,10500,2,Teenagers,Declining,16,12390.00
399,12400,4,Young Adults,Growing,30,8060.00
400,14400,3,Millennials,Stable,17,16920.00
