Product ID,Cost of Production ($),Competition Level (1-5),Target Audience,Market Conditions,Desired Profit Margin (%)
122,11000,4,Teenagers,Growing,15
123,13800,3,Young Adults,Stable,19
124,8500,2,Millennials,Competitive,23
125,14300,4,Families,Declining,28
126,9000,5,Seniors,Growing,17
127,15700,3,Professionals,Stable,22
128,10200,4,Teenagers,Competitive,29
129,12600,3,Young Adults,Declining,18
130,8600,2,Millennials,Growing,24
131,14900,4,Families,Stable,16
132,10300,5,Seniors,Competitive,31
133,16800,3,Professionals,Declining,17
134,10700,4,Teenagers,Growing,22
135,13700,3,Young Adults,Stable,27
136,9500,2,Millennials,Competitive,19
137,13900,4,Families,Declining,24
138,9200,5,Seniors,Growing,16
139,16200,3,Professionals,Stable,29
140,11400,4,Teenagers,Competitive,18
141,14700,3,Young Adults,Declining,25
142,8600,2,Millennials,Growing,21
143,15200,4,Families,Stable,30
144,9800,5,Seniors,Competitive,20
145,17000,3,Professionals,Declining,26
146,11000,4,Teenagers,Growing,15
147,13800,3,Young Adults,Stable,19
148,8500,2,Millennials,Competitive,23
149,14300,4,Families,Declining,28
150,9000,5,Seniors,Growing,17
151,15700,3,Professionals,Stable,22
152,10200,4,Teenagers,Competitive,29
153,12600,3,Young Adults,Declining,18
154,8600,2,Millennials,Growing,24
155,14900,4,Families,Stable,16
156,10300,5,Seniors,Competitive,31
157,16800,3,Professionals,Declining,17
158,10700,4,Teenagers,Growing,22
159,13700,3,Young Adults,Stable,27
160,9500,2,Millennials,Competitive,19
161,13900,4,Families,Declining,24
162,9200,5,Seniors,Growing,16
163,16200,3,Professionals,Stable,29
164,11400,4,Teenagers,Competitive,18
165,14700,3,Young Adults,Declining,25
166,8600,2,Millennials,Growing,21
167,15200,4,Families,Stable,30
168,9800,5,Seniors,Competitive,20
169,17000,3,Professionals,Declining,26
170,11000,4,Teenagers,Growing,15
171,13800,3,Young Adults,Stable,19
172,8500,2,Millennials,Competitive,23
173,14300,4,Families,Declining,28
174,9000,5,Seniors,Growing,17
175,15700,3,Professionals,Stable,22
176,10200,4,Teenagers,Competitive,29
177,12600,3,Young Adults,Declining,18
178,8600,2,Millennials,Growing,24
179,14900,4,Families,Stable,16
180,10300,5,Seniors,Competitive,31
181,16800,3,Professionals,Declining,17
182,10700,4,Teenagers,Growing,22
183,13700,3,Young Adults,Stable,27
184,9500,2,Millennials,Competitive,19
185,13900,4,Families,Declining,24
186,9200,5,Seniors,Growing,16
187,16200,3,Professionals,Stable,29
188,11400,4,Teenagers,Competitive,18
189,14700,3,Young Adults,Declining,25
190,8600,2,Millennials,Growing,21
191,15200,4,Families,Stable,30
192,9800,5,Seniors,Competitive,20
193,17000,3,Professionals,Declining,26
194,11000,4,Teenagers,Growing,15
195,13800,3,Young Adults,Stable,19
196,8500,2,Millennials,Competitive,23
197,14300,4,Families,Declining,28
198,9000,5,Seniors,Growing,17
199,15700,3,Professionals,Stable,22
200,10200,4,Teenagers,Competitive,29
201,12600,3,Young Adults,Declining,18
202,8600,2,Millennials,Growing,24
203,14900,4,Families,Stable,16
204,10300,5,Seniors,Competitive,31
205,16800,3,Professionals,Declining,17
206,10700,4,Teenagers,Growing,22
207,13700,3,Young Adults,Stable,27
208,9500,2,Millennials,Competitive,19
209,13900,4,Families,Declining,24
210,9200,5,Seniors,Growing,16
211,16200,3,Professionals,Stable,29
212,11400,4,Teenagers,Competitive,18
213,14700,3,Young Adults,Declining,25
214,8600,2,Millennials,Growing,21
215,15200,4,Families,Stable,30
216,9800,5,Seniors,Competitive,20
217,17000,3,Professionals,Declining,26
218,11000,4,Teenagers,Growing,15
219,13800,3,Young Adults,Stable,19
220,8500,2,Millennials,Competitive,23
221,14300,4,Families,Declining,28
222,9000,5,Seniors,Growing,17
223,15700,3,Professionals,Stable,22
224,10200,4,Teenagers,Competitive,29
225,12600,3,Young Adults,Declining,18
226,8600,2,Millennials,Growing,24
227,14900,4,Families,Stable,16
228,10300,5,Seniors,Competitive,31
229,16800,3,Professionals,Declining,17
230,10700,4,Teenagers,Growing,22
231,13700,3,Young Adults,Stable,27
232,9500,2,Millennials,Competitive,19
233,13900,4,Families,Declining,24
234,9200,5,Seniors,Growing,16
235,16200,3,Professionals,Stable,29
236,11400,4,Teenagers,Competitive,18
237,14700,3,Young Adults,Declining,25
238,8600,2,Millennials,Growing,21
239,15200,4,Families,Stable,30
240,9800,5,Seniors,Competitive,20
241,17000,3,Professionals,Declining,26
242,11000,4,Teenagers,Growing,15
243,13800,3,Young Adults,Stable,19
244,8500,2,Millennials,Competitive,23
245,14300,4,Families,Declining,28
246,9000,5,Seniors,Growing,17
247,15700,3,Professionals,Stable,22
248,10200,4,Teenagers,Competitive,29
249,12600,3,Young Adults,Declining,18
250,8600,2,Millennials,Growing,24
251,14900,4,Families,Stable,16
252,10300,5,Seniors,Competitive,31
253,16800,3,Professionals,Declining,17
254,10700,4,Teenagers,Growing,22
255,13700,3,Young Adults,Stable,27
256,9500,2,Millennials,Competitive,19
257,13900,4,Families,Declining,24
258,9200,5,Seniors,Growing,16
259,16200,3,Professionals,Stable,29
260,11400,4,Teenagers,Competitive,18
261,14700,3,Young Adults,Declining,25
262,8600,2,Millennials,Growing,21
263,15200,4,Families,Stable,30
264,9800,5,Seniors,Competitive,20
265,17000,3,Professionals,Declining,26
266,11000,4,Teenagers,Growing,15
267,13800,3,Young Adults,Stable,19
268,8500,2,Millennials,Competitive,23
269,14300,4,Families,Declining,28
270,9000,5,Seniors,Growing,17
271,15700,3,Professionals,Stable,22
272,10200,4,Teenagers,Competitive,29
273,12600,3,Young Adults,Declining,18
274,8600,2,Millennials,Growing,24
275,14900,4,Families,Stable,16
276,10300,5,Seniors,Competitive,31
277,16800,3,Professionals,Declining,17
278,10700,4,Teenagers,Growing,22
279,13700,3,Young Adults,Stable,27
280,9500,2,Millennials,Competitive,19
281,13900,4,Families,Declining,24
282,9200,5,Seniors,Growing,16
283,16200,3,Professionals,Stable,29
284,11400,4,Teenagers,Competitive,18
285,14700,3,Young Adults,Declining,25
286,8600,2,Millennials,Growing,21
287,15200,4,Families,Stable,30
288,9800,5,Seniors,Competitive,20
289,17000,3,Professionals,Declining,26
290,11000,4,Teenagers,Growing,15
291,13800,3,Young Adults,Stable,19
292,8500,2,Millennials,Competitive,23
293,14300,4,Families,Declining,28
294,9000,5,Seniors,Growing,17
295,15700,3,Professionals,Stable,22
296,10200,4,Teenagers,Competitive,29
297,12600,3,Young Adults,Declining,18
298,8600,2,Millennials,Growing,24
299,14900,4,Families,Stable,16
300,10300,5,Seniors,Competitive,31
301,16800,3,Professionals,Declining,17
302,10700,4,Teenagers,Growing,22
303,13700,3,Young Adults,Stable,27
304,9500,2,Millennials,Competitive,19
305,13900,4,Families,Declining,24
306,9200,5,Seniors,Growing,16
307,16200,3,Professionals,Stable,29
308,11400,4,Teenagers,Competitive,18
309,14700,3,Young Adults,Declining,25
310,8600,2,Millennials,Growing,21
311,15200,4,Families,Stable,30
312,9800,5,Seniors,Competitive,20
313,17000,3,Professionals,Declining,26
314,11000,4,Teenagers,Growing,15
315,13800,3,Young Adults,Stable,19
316,8500,2,Millennials,Competitive,23
317,14300,4,Families,Declining,28
318,9000,5,Seniors,Growing,17
319,15700,3,Professionals,Stable,22
320,10200,4,Teenagers,Competitive,29
321,12600,3,Young Adults,Declining,18
322,8600,2,Millennials,Growing,24
323,14900,4,Families,Stable,16
324,10300,5,Seniors,Competitive,31
325,16800,3,Professionals,Declining,17
326,10700,4,Teenagers,Growing,22
327,13700,3,Young Adults,Stable,27
328,9500,2,Millennials,Competitive,19
329,13900,4,Families,Declining,24
330,9200,5,Seniors,Growing,16
331,16200,3,Professionals,Stable,29
332,11400,4,Teenagers,Competitive,18
333,14700,3,Young Adults,Declining,25
334,8600,2,Millennials,Growing,21
335,15200,4,Families,Stable,30
336,9800,5,Seniors,Competitive,20
337,17000,3,Professionals,Declining,26
338,11000,4,Teenagers,Growing,15
339,13800,3,Young Adults,Stable,19
340,8500,2,Millennials,Competitive,23
341,14300,4,Families,Declining,28
342,9000,5,Seniors,Growing,17
343,15700,3,Professionals,Stable,22
344,10200,4,Teenagers,Competitive,29
345,12600,3,Young Adults,Declining,18
346,8600,2,Millennials,Growing,24
347,14900,4,Families,Stable,16
348,10300,5,Seniors,Competitive,31
349,16800,3,Professionals,Declining,17
350,10700,4,Teenagers,Growing,22
351,13700,3,Young Adults,Stable,27
352,9500,2,Millennials,Competitive,19
353,13900,4,Families,Declining,24
354,9200,5,Seniors,Growing,16
355,16200,3,Professionals,Stable,29
356,11400,4,Teenagers,Competitive,18
357,14700,3,Young Adults,Declining,25
358,8600,2,Millennials,Growing,21
359,15200,4,Families,Stable,30
360,9800,5,Seniors,Competitive,20
361,17000,3,Professionals,Declining,26
362,11000,4,Teenagers,Growing,15
363,13800,3,Young Adults,Stable,19
364,8500,2,Millennials,Competitive,23
365,14300,4,Families,Declining,28
366,9000,5,Seniors,Growing,17
367,15700,3,Professionals,Stable,22
368,10200,4,Teenagers,Competitive,29
369,12600,3,Young Adults,Declining,18
370,8600,2,Millennials,Growing,24
371,14900,4,Families,Stable,16
372,10300,5,Seniors,Competitive,31
373,16800,3,Professionals,Declining,17
374,10700,4,Teenagers,Growing,22
375,13700,3,Young Adults,Stable,27
376,9500,2,Millennials,Competitive,19
377,13900,4,Families,Declining,24
378,9200,5,Seniors,Growing,16
379,16200,3,Professionals,Stable,29
380,11400,4,Teenagers,Competitive,18
381,14700,3,Young Adults,Declining,25
382,8600,2,Millennials,Growing,21
383,15200,4,Families,Stable,30
384,9800,5,Seniors,Competitive,20
385,17000,3,Professionals,Declining,26
386,11000,4,Teenagers,Growing,15
387,13800,3,Young Adults,Stable,19
388,8500,2,Millennials,Competitive,23
389,14300,4,Families,Declining,28
390,9000,5,Seniors,Growing,17
391,15700,3,Professionals,Stable,22
392,10200,4,Teenagers,Competitive,29
393,12600,3,Young Adults,Declining,18
394,8600,2,Millennials,Growing,24
395,14900,4,Families,Stable,16
396,10300,5,Seniors,Competitive,31
397,16800,3,Professionals,Declining,17
398,10700,4,Teenagers,Growing,22
399,13700,3,Young Adults,Stable,27
400,9500,2,Millennials,Competitive,19
